Code,Type de livrable,Module,Patron de nom,Exemple,Règle de version,Note
NOTE-CIC,Note de recommandation au comité d'investissement,P4,AAAAMMJJ_ENTREPRISE_NOTE-CIC_vN,20260310_USINAGE-RIVE-NORD_NOTE-CIC_v3,"La version déposée au comité porte le suffixe _DEPOSE et n'est plus modifiée après l'envoi de l'ordre du jour","La date du nom est celle de la séance visée et non celle de la rédaction"
ANL-FIN,Analyse financière,F1,AAAAMMJJ_ENTREPRISE_ANL-FIN_vN,20260212_USINAGE-RIVE-NORD_ANL-FIN_v2,"Incrémenter à chaque réception de nouveaux états financiers","Indiquer dans le document les exercices couverts et le niveau d'assurance des états"
MONTAGE,Tableau Sources et Emplois et structure de financement,F2,AAAAMMJJ_ENTREPRISE_MONTAGE_vN,20260212_USINAGE-RIVE-NORD_MONTAGE_v4,"Toute modification du coût de projet crée une nouvelle version","Le montage est le document le plus souvent modifié: la discipline de version y est critique"
CAP-REMB,Analyse de capacité de remboursement et scénarios,F3,AAAAMMJJ_ENTREPRISE_CAP-REMB_vN,20260214_USINAGE-RIVE-NORD_CAP-REMB_v2,"Nouvelle version à chaque changement de tarification ou de montage","Le nom doit permettre de retrouver la version cohérente avec le montage du même jour"
RISQUE,Matrice de risque et mitigants,F4,AAAAMMJJ_ENTREPRISE_RISQUE_vN,20260215_USINAGE-RIVE-NORD_RISQUE_v1,"Version unique par dossier sauf changement de nature du projet","Les conditions de décaissement en découlent: toute modification se répercute dans la note"
ADM,Verdict d'admissibilité,P1,AAAAMMJJ_ENTREPRISE_ADM_vN,20260205_USINAGE-RIVE-NORD_ADM_v1,"Une seule version sauf modification du projet ou des dépenses visées","Document court mais horodaté: il fixe le moment où l'admissibilité a été constatée"
CONF,Grille de conformité à la politique,P3,AAAAMMJJ_ENTREPRISE_CONF_vN,20260216_USINAGE-RIVE-NORD_CONF_v2,"Nouvelle version dès qu'un paramètre de politique est mis à jour","Doit citer la version de la politique d'investissement utilisée"
EVAL,Rapport d'évaluation d'entreprise,E4,AAAAMMJJ_ENTREPRISE_EVAL_vN,20260220_USINAGE-RIVE-NORD_EVAL_v1,"La date d'évaluation figure dans le document et ne se confond pas avec la date du fichier","Une évaluation ne se réutilise pas à une autre date sans mise à jour formelle"
NORM,Tableau de normalisation du BAIIA,E1,AAAAMMJJ_ENTREPRISE_NORM_vN,20260218_USINAGE-RIVE-NORD_NORM_v3,"Incrémenter à chaque ajustement retenu ou retiré","Chaque ligne du tableau porte sa source: le fichier est la pièce maîtresse de l'évaluation"
PREV,Prévisionnel financier et hypothèses,F3,AAAAMMJJ_ENTREPRISE_PREV_vN,20260213_USINAGE-RIVE-NORD_PREV_v5,"Nouvelle version à chaque révision d'hypothèse","Le fichier doit contenir la feuille d'hypothèses; un prévisionnel sans hypothèses écrites est refusé au contrôle"
SOMM,Sommaire exécutif,R2,AAAAMMJJ_ENTREPRISE_SOMM_vN,20260310_USINAGE-RIVE-NORD_SOMM_v2,"Se réaligne obligatoirement sur la dernière version de la note","Un sommaire dont les chiffres divergent de la note est un blocage au préflight"
PRES-CA,Support de présentation au conseil ou au comité,R3,AAAAMMJJ_INSTANCE_SUJET_PRES_vN,20260325_CA_PORTEFEUILLE-T1_PRES_v2,"La version projetée porte le suffixe _SEANCE","Pour une présentation d'instance, le nom porte l'instance et le sujet plutôt qu'une entreprise"
VEILLE,Rapport de veille territoriale,D3,AAAAMMJJ_TERRITOIRE_VEILLE_vN,20260302_MRC_VEILLE_v1,"Une version par période de veille","Le millésime des données utilisées est indiqué dans le rapport, distinct de la date du fichier"
PROG,Cartographie des programmes et aides,D1,AAAAMMJJ_ENTREPRISE_PROG_vN,20260208_USINAGE-RIVE-NORD_PROG_v2,"Nouvelle version dès qu'un programme change de statut","Le statut de chaque aide et son degré de certitude figurent au document"
REG-SRC,Registre des sources,Q3,AAAAMMJJ_ENTREPRISE_REG-SRC_vN,20260310_USINAGE-RIVE-NORD_REG-SRC_v1,"Une version par version de livrable contrôlée","S'annexe au dossier: c'est la pièce qui rend le livrable auditable"
QA,Registre de contrôle et statut de préflight,Q4,AAAAMMJJ_ENTREPRISE_QA_vN,20260310_USINAGE-RIVE-NORD_QA_v1,"Une version par version de livrable contrôlée","Le registre nomme la version exacte du livrable contrôlé, sans quoi il ne prouve rien"
