Clé,Libellé,Fonds,Valeur,Unité,Statut,Source,Date de validation,Utilisé par,Note
TERRITOIRE_ADMISSIBLE,Territoire desservi et lieu d'établissement exigé,TOUS,À_RENSEIGNER,texte,A_VALIDER,Politique d'investissement en vigueur,,P1,"Définit l'établissement admissible. Un siège social hors territoire avec établissement sur le territoire se traite au cas par cas selon la politique."
SECTEURS_EXCLUS,Liste des secteurs et activités exclus,TOUS,À_RENSEIGNER,liste,A_VALIDER,Politique d'investissement en vigueur,,P1,"À reprendre intégralement de la politique. Ne jamais reconstituer cette liste de mémoire ni par analogie avec un autre fonds."
PLAFOND_ENTREPRISE_FLI,Montant maximal par entreprise,FLI,À_RENSEIGNER,$,A_VALIDER,Politique d'investissement en vigueur,,P3;F2,"Vérifier si le plafond s'applique par dossier ou par entreprise cumulée dans le temps."
PLAFOND_ENTREPRISE_FLS,Montant maximal par entreprise,FLS,À_RENSEIGNER,$,A_VALIDER,Politique d'investissement en vigueur et entente avec le bailleur,,P3;F2,"Le plafond du fonds de solidarité découle de l'entente avec le bailleur et peut différer de celui du fonds local."
PLAFOND_GROUPE_LIE,Montant maximal par groupe d'entreprises liées,TOUS,À_RENSEIGNER,$,A_VALIDER,Politique d'investissement en vigueur,,P3,"Exige de recenser les engagements existants envers toutes les entités du groupe avant de conclure à la conformité."
RATIO_FLI_FLS,Ratio de participation exigé entre les fonds,FLI;FLS,À_RENSEIGNER,ratio,A_VALIDER,Entente avec le bailleur,,P3;F2,"Détermine si les deux fonds doivent intervenir en parts fixes ou si la répartition est discrétionnaire."
MISE_FONDS_MIN,Mise de fonds minimale exigée des promoteurs,TOUS,À_RENSEIGNER,% du coût de projet,A_VALIDER,Politique d'investissement en vigueur,,P3;F2,"Préciser également les formes d'apport reconnues: comptant, apport en nature, bilan de départ, subvention."
FORMES_MISE_FONDS,Formes d'apport reconnues comme mise de fonds,TOUS,À_RENSEIGNER,liste,A_VALIDER,Politique d'investissement en vigueur,,P3;F2,"Point de litige fréquent: une subvention est rarement reconnue comme mise de fonds. À vérifier explicitement."
TAUX_REFERENCE,Taux de référence servant de base à la tarification,TOUS,À_RENSEIGNER,%,A_VALIDER,Grille de tarification en vigueur,,P2,"Préciser l'indice de référence et sa date de constatation, ainsi que la fréquence de mise à jour."
GRILLE_PRIME_RISQUE,Prime de risque par cote de dossier,TOUS,À_RENSEIGNER,points de %,A_VALIDER,Grille de tarification en vigueur,,P2,"La grille doit établir la correspondance entre la cotation produite en F4 et la prime applicable."
TERME_MAX,Terme maximal du prêt,TOUS,À_RENSEIGNER,mois,A_VALIDER,Politique d'investissement en vigueur,,P2,"Peut varier selon la nature de l'actif financé."
AMORTISSEMENT_MAX,Période d'amortissement maximale,TOUS,À_RENSEIGNER,mois,A_VALIDER,Politique d'investissement en vigueur,,P2,"L'amortissement ne devrait jamais excéder la durée de vie utile de l'actif financé, même si la politique le permet."
CONGE_CAPITAL_MAX,Congé de remboursement de capital maximal,TOUS,À_RENSEIGNER,mois,A_VALIDER,Politique d'investissement en vigueur,,P2;F3,"Le congé accordé doit être justifié par la courbe de trésorerie produite en F3, pas seulement permis par la politique."
FRAIS_OUVERTURE,Frais d'ouverture et d'analyse de dossier,TOUS,À_RENSEIGNER,$ ou %,A_VALIDER,Grille de tarification en vigueur,,P2,"Préciser si les frais sont capitalisables au prêt ou exigibles au décaissement."
RCD_MINIMAL,Ratio de couverture du service de la dette minimal exigé,TOUS,À_RENSEIGNER,ratio,A_VALIDER,Politique d'investissement en vigueur,,F3;P3,"En l'absence de seuil dans la politique, le repère indicatif du marché est documenté dans formules.csv et doit être présenté comme tel."
CONCENTRATION_SECTEUR,Limite de concentration sectorielle du portefeuille,TOUS,À_RENSEIGNER,% du portefeuille,A_VALIDER,Politique d'investissement en vigueur,,P3,"Se vérifie contre l'état du portefeuille à la date de la demande, pas contre un état historique."
CONCENTRATION_DOSSIER,Limite d'exposition par dossier en pourcentage du fonds,TOUS,À_RENSEIGNER,% du fonds,A_VALIDER,Politique d'investissement en vigueur,,P3,"Contrainte souvent oubliée pour les gros dossiers d'un petit fonds."
SEUIL_DELEGATION,Seuil au-delà duquel l'autorisation du comité est requise,TOUS,À_RENSEIGNER,$,A_VALIDER,Politique d'investissement en vigueur et résolutions en vigueur,,P3;P4,"Détermine le niveau d'instance décisionnelle. Ne jamais présumer d'une délégation."
GARANTIES_EXIGEES,Garanties et cautionnements exigés selon le montant,TOUS,À_RENSEIGNER,texte,A_VALIDER,Politique d'investissement en vigueur,,P3;F4,"Inclut la question du cautionnement personnel des promoteurs et de son étendue."
DEPENSES_ADMISSIBLES,Dépenses admissibles et non admissibles,TOUS,À_RENSEIGNER,liste,A_VALIDER,Politique d'investissement en vigueur,,P1;F2,"Le refinancement de dette existante et les dépenses engagées avant le dépôt sont généralement exclus: à confirmer dans la politique."
CUMUL_MAX_AIDES,Plafond de cumul des aides publiques,TOUS,À_RENSEIGNER,% des dépenses admissibles,A_VALIDER,Règles de chaque programme et politique en vigueur,,D1;P3,"Le plafond applicable est le plus contraignant parmi ceux des programmes en présence."
DELAI_VALIDITE_OFFRE,Délai de validité de l'offre de financement,TOUS,À_RENSEIGNER,jours,A_VALIDER,Politique d'investissement en vigueur,,P4,"Détermine la date limite de réalisation des conditions préalables au décaissement."
