Clé,Nom,Catégorie,Formule,Termes,Interprétation,Seuil indicatif,Statut du seuil,Pièges,Modules
RCD,Ratio de couverture du service de la dette,Capacité de remboursement,RCD = FTDSD / SDT,"FTDSD = flux de trésorerie disponible au service de la dette; SDT = service de la dette total de l'exercice (capital + intérêts, toutes dettes incluant crédit-bail)","Nombre de fois que les flux couvrent les versements. À 1,00 l'entreprise paie sans marge; sous 1,00 elle puise dans ses réserves ou sa marge de crédit.","≥ 1,25 pour une PME établie; ≥ 1,35 en démarrage ou en secteur cyclique",INDICATIF,"Calculer sur le bénéfice net; oublier le crédit-bail dans le service; utiliser le BAIIA publié plutôt que normalisé; ne présenter que l'année 1",F3;P2;Q1
FTDSD,Flux de trésorerie disponible au service de la dette,Capacité de remboursement,FTDSD = BAIIA normalisé - impôts en trésorerie - investissements de maintien - variation du fonds de roulement - retraits des actionnaires,"BAIIA normalisé = BAIIA après retraitements de E1; investissements de maintien = dépenses nécessaires pour maintenir la capacité de production actuelle","Ce qui reste réellement disponible pour payer les prêteurs après avoir fait tourner l'entreprise.",Aucun,SANS OBJET,"Confondre investissements de maintien et de croissance; oublier la variation du fonds de roulement en phase de croissance; ignorer les retraits des actionnaires jugés discrétionnaires",F3;Q1
SEUIL_RUPT,Seuil de rupture du service de la dette,Capacité de remboursement,Baisse tolérée = (FTDSD - SDT) / FTDSD,"FTDSD et SDT tels que définis ci-dessus","Pourcentage de baisse des flux disponibles qui amène le ratio de couverture à 1,00. Mesure directe de la marge de sécurité.",Aucun,SANS OBJET,"Appliquer la baisse aux revenus alors qu'elle porte sur les flux; oublier que les charges fixes amplifient l'effet d'une baisse de revenus",F3;F4
DETTE_BAIIA,Levier financier,Structure,Levier = Dette portant intérêt totale / BAIIA normalisé,"Dette portant intérêt = dette bancaire + fonds locaux + crédit-bail + avances portant intérêt, excluant les avances d'actionnaires postposées","Nombre d'années de BAIIA nécessaires pour rembourser la dette. Mesure d'endettement la plus lue par les prêteurs.","≤ 3,0 x pour une PME manufacturière; ≤ 4,0 x avec actifs tangibles importants",INDICATIF,"Inclure les comptes fournisseurs dans la dette; exclure le crédit-bail; utiliser un BAIIA non normalisé qui gonfle artificiellement la capacité",F1;F2;Q1
DETTE_AVOIR,Ratio d'endettement,Structure,Ratio = Passif total / Avoir des actionnaires,"Avoir des actionnaires = capital-actions + bénéfices non répartis + avances postposées si traitées en quasi-équité","Proportion de financement externe par rapport à la mise des propriétaires.","≤ 3,0 selon le secteur; à interpréter avec l'intensité capitalistique",INDICATIF,"Ignorer un avoir négatif qui rend le ratio ininterprétable; traiter les avances d'actionnaires en équité sans convention de postposition signée",F1;F2
FDR,Fonds de roulement,Liquidité,FDR = Actif à court terme - Passif à court terme,"Actif et passif à court terme au bilan à la date considérée","Coussin de liquidité pour absorber le cycle d'exploitation. Un fonds de roulement négatif signale une dépendance à la marge de crédit.",Positif et croissant avec le chiffre d'affaires,INDICATIF,"Ne pas retirer la portion court terme de la dette long terme; oublier que des stocks lents gonflent un fonds de roulement qui n'est pas liquide",F1;F2
RATIO_FDR,Ratio du fonds de roulement,Liquidité,Ratio = Actif à court terme / Passif à court terme,"Mêmes postes que le fonds de roulement","Capacité à honorer les engagements des douze prochains mois avec les actifs qui deviendront liquides.","≥ 1,25; ≥ 1,50 en secteur saisonnier",INDICATIF,"Lire le ratio sans regarder la composition de l'actif à court terme; comparer un ratio de fin d'exercice choisi au creux du cycle",F1
LIQ_IMM,Liquidité immédiate,Liquidité,Ratio = (Encaisse + Comptes clients) / Passif à court terme,"Exclut les stocks et les frais payés d'avance","Test plus sévère que le ratio du fonds de roulement: mesure la capacité à payer sans écouler les stocks.","≥ 1,00 pour une entreprise de services; ≥ 0,80 en distribution",INDICATIF,"Inclure des comptes clients dont l'âge dépasse 90 jours sans provision",F1
BAIIA_NORM,BAIIA normalisé,Évaluation,BAIIA normalisé = BAIIA publié ± ajustements de normalisation,"Ajustements typiques: rémunération des actionnaires ramenée au marché; loyer avec partie liée ramené au marché; éléments non récurrents retirés; dépenses personnelles retirées","Mesure de la rentabilité récurrente et transférable, indépendante des choix de rémunération du propriétaire actuel.",Aucun,SANS OBJET,"Normaliser uniquement à la hausse; retirer des éléments récurrents en les qualifiant d'exceptionnels; oublier de documenter la source du salaire de marché",E1;F1;F3
VE,Valeur d'entreprise par les multiples,Évaluation,VE = BAIIA normalisé retenu x Multiple retenu,"Multiple issu de transactions comparables ou de repères sectoriels, ajusté pour la taille et le risque spécifique","Valeur de l'ensemble de l'exploitation, avant de tenir compte du financement.",Aucun,SANS OBJET,"Appliquer un multiple de sociétés cotées à une PME sans décote; retenir un multiple ponctuel plutôt qu'une fourchette",E2
VA_ACTIONS,Passage de la valeur d'entreprise à la valeur des actions,Évaluation,Valeur des actions = VE - Dette nette + Écart de fonds de roulement + Actifs hors exploitation,"Dette nette = dette portant intérêt - encaisse excédentaire; écart de fonds de roulement = FDR réel - FDR normatif du secteur","Ce que reçoivent les actionnaires une fois les prêteurs remboursés et le fonds de roulement normalisé.",Aucun,SANS OBJET,"Oublier l'écart de fonds de roulement; traiter toute l'encaisse comme excédentaire alors qu'une partie est nécessaire à l'exploitation",E2;E3
WACC,Coût moyen pondéré du capital,Évaluation,WACC = Ke x (E / (D+E)) + Kd x (1 - t) x (D / (D+E)),"Ke = coût des fonds propres; Kd = coût de la dette avant impôts; t = taux d'imposition effectif; D et E aux valeurs cibles et non comptables","Taux d'actualisation reflétant le coût de toutes les sources de financement à la structure cible.",Aucun,SANS OBJET,"Utiliser la structure de capital comptable actuelle plutôt que la structure cible; oublier l'économie d'impôt sur les intérêts; mélanger un taux nominal avec des flux réels",E3
KE,Coût des fonds propres,Évaluation,Ke = Rf + Bêta x PRM + Prime de taille + Prime spécifique,"Rf = taux sans risque; PRM = prime de risque du marché; prime de taille et prime spécifique documentées pour la PME visée","Rendement exigé par un actionnaire compte tenu du risque assumé.",Aucun,SANS OBJET,"Emprunter un bêta sectoriel sans le déleverager puis le releverager à la structure cible; empiler des primes sans justification écrite",E3
VT_GORDON,Valeur terminale par croissance perpétuelle,Évaluation,VT = FTD de l'année terminale x (1 + g) / (WACC - g),"g = taux de croissance perpétuelle; doit demeurer inférieur à la croissance nominale de l'économie à long terme","Valeur de tous les flux au-delà de l'horizon explicite.","g inférieur à la croissance nominale de l'économie",INDICATIF,"Retenir un g proche du WACC qui fait exploser la valeur; asseoir la valeur terminale sur une année d'exploitation non représentative; laisser la valeur terminale dominer la valeur totale sans le signaler",E3
POIDS_VT,Poids de la valeur terminale,Évaluation,Poids = VT actualisée / Valeur d'entreprise totale,"VT actualisée = valeur terminale ramenée à la date d'évaluation","Indique à quel point la conclusion repose sur l'après-horizon plutôt que sur le prévisionnel détaillé.","Au-delà de 75 % le résultat devient très sensible aux hypothèses terminales",INDICATIF,"Ne pas calculer ce poids et présenter le DCF comme robuste alors qu'il repose presque entièrement sur la valeur terminale",E3;Q1
MISE_FONDS,Taux de mise de fonds,Montage,Taux = Mise de fonds / Coût total du projet,"Mise de fonds = apport des promoteurs en argent et en nature reconnu par la politique","Part du risque assumée par les promoteurs. Premier signal d'engagement lu par tout prêteur.",Selon la politique en vigueur,A_VALIDER,"Compter une subvention comme mise de fonds sans vérifier si la politique le permet; valoriser un apport en nature sans évaluation indépendante",F2;P3
SOURCES_EMPLOIS,Équilibre Sources et Emplois,Montage,Somme des sources = Somme des emplois,"Emplois = coût total du projet incluant contingence et fonds de roulement; sources = toutes les entrées de financement","Contrôle arithmétique fondamental de tout montage: un écart signale un poste oublié.",Écart de zéro exigé,BLOQUANT,"Faire balancer artificiellement avec un poste divers; oublier la contingence et le fonds de roulement du côté des emplois; inscrire une source non confirmée",F2;Q1
MARGE_BRUTE,Marge brute,Rentabilité,Marge = (Ventes - Coût des ventes) / Ventes,"Coût des ventes tel que présenté, à retraiter si la ventilation change d'un exercice à l'autre","Capacité de l'entreprise à dégager de la valeur avant charges de structure. Sa tendance révèle la pression concurrentielle.",Comparer au repère sectoriel plutôt qu'à un seuil absolu,INDICATIF,"Comparer des marges dont la ventilation entre coût des ventes et frais généraux diffère entre exercices ou entre entreprises",F1;D2
SEUIL_RENT,Seuil de rentabilité,Rentabilité,Seuil = Charges fixes / Taux de marge sur coûts variables,"Taux de marge sur coûts variables = (Ventes - coûts variables) / Ventes","Chiffre d'affaires minimal pour couvrir toutes les charges. Distance entre le seuil et les ventes réelles = coussin d'exploitation.",Aucun,SANS OBJET,"Classer en charges fixes des charges semi-variables; calculer un seuil sur un exercice atypique",F1;F3
CYCLE_CONV,Cycle de conversion de trésorerie,Exploitation,Cycle = DSO + DIO - DPO,"DSO = délai de recouvrement des clients; DIO = délai d'écoulement des stocks; DPO = délai de paiement des fournisseurs, tous en jours","Nombre de jours pendant lesquels l'entreprise finance son exploitation. Chaque jour de cycle consomme du fonds de roulement.",Comparer au repère sectoriel,INDICATIF,"Calculer les délais sur des soldes de fin d'exercice non représentatifs; oublier que la croissance allonge mécaniquement le besoin",F1;F3
DSO,Délai de recouvrement des clients,Exploitation,DSO = (Comptes clients / Ventes à crédit) x 365,"Ventes à crédit de l'exercice; à défaut, ventes totales en le précisant","Rapidité d'encaissement. Un écart croissant avec les conditions de vente annonce un problème de recouvrement ou de qualité.",Comparer aux conditions de vente accordées,INDICATIF,"Utiliser les ventes totales sans le déclarer; ignorer une concentration de comptes clients sur un seul client",F1
