ID,Domaine,Module,Objectif,Déclencheurs,Entrées,Méthode,Sorties,Amont,Aval,Gate QA,Pièges
F1,01-FINANCEMENT,analyse-financiere,"Établir le portrait financier réel de l'entreprise sur 3 exercices et dégager la trajectoire, la structure et les signaux d'alerte avant toute recommandation.","analyse financière; états financiers; bilan; résultats; ratios; santé financière; portrait financier; lecture des EF","États financiers 3 exercices (mission d'examen ou audit de préférence); balance de vérification récente; états intérimaires; liste de l'âge des comptes clients et fournisseurs; conventions entre actionnaires; contrats de dette existants","1. Qualifier la source (audit / examen / avis au lecteur / interne) et noter le niveau d'assurance | 2. Reconstituer les 3 exercices en colonnes comparables et retraiter les changements de méthode | 3. Calculer les ratios de liquidité, structure, rentabilité et cycle d'exploitation | 4. Analyser la tendance et non le point (variation en $ et en %) | 5. Décomposer la marge brute et les charges fixes vs variables | 6. Rapprocher le bénéfice net et l'encaisse (conversion du bénéfice en trésorerie) | 7. Lever les drapeaux rouges et formuler les questions au promoteur","Tableau des 3 exercices retraités; grille de ratios avec repères sectoriels; liste des signaux d'alerte cotés; questions ouvertes au promoteur","","F3;F4;E1;R2","Q1;Q3","Comparer des exercices de durée inégale; utiliser le BAIIA non normalisé comme mesure de performance; confondre bénéfice et liquidité; ignorer les avances d'actionnaires et les soldes de prix de vente"
F2,01-FINANCEMENT,montage-financier,"Structurer le tour de financement complet du projet: coût total, sources, rangs de sûretés et effet de levier, de façon bancable et conforme aux politiques.","montage financier; structure de financement; tour de financement; coût de projet; sources et emplois; mise de fonds; effet de levier","Coût de projet ventilé et documenté (soumissions, offres d'achat, devis); mise de fonds disponible et sa provenance; lettres d'intérêt des prêteurs; programmes et subventions visés; garanties disponibles","1. Établir le tableau Sources et Emplois qui balance au dollar près | 2. Valider chaque poste du coût de projet par une pièce (soumission, contrat, évaluation) | 3. Vérifier la mise de fonds minimale exigée et sa nature (comptant, apport en nature, subvention, bilan de départ) | 4. Attribuer chaque source à son rang de sûreté et éviter les conflits de rang | 5. Tester l'effet de levier: dette totale / BAIIA normalisé et dette / avoir | 6. Réserver un fonds de roulement et une contingence explicites | 7. Séquencer les décaissements selon l'avancement du projet","Tableau Sources et Emplois balancé; structure de sûretés par rang; échéancier de décaissement; conditions inter-prêteurs à négocier","F1;P1","F3;P2;P3;P4","Q1;Q3","Sources et emplois qui ne balancent pas; contingence absente; fonds de roulement de démarrage oublié; subvention comptabilisée avant confirmation écrite; double comptage d'une même garantie"
F3,01-FINANCEMENT,capacite-remboursement,"Démontrer par les flux de trésorerie que l'entreprise peut servir la dette projetée, et mesurer la marge de sécurité avant défaut.","capacité de remboursement; service de la dette; RCD; couverture; flux de trésorerie; stress test; sensibilité; seuil de rupture","Prévisionnel de trésorerie mensuel sur 12 à 24 mois; états prévisionnels 2 à 3 ans avec hypothèses; échéanciers de toutes les dettes existantes et projetées; retraits prévus des actionnaires; investissements de maintien","1. Reconstituer le flux de trésorerie disponible au service de la dette (BAIIA normalisé moins impôts moins investissements de maintien moins variation du fonds de roulement) | 2. Additionner le service total de la dette (capital et intérêts, toutes sources, incluant crédit-bail) | 3. Calculer le ratio de couverture du service de la dette par exercice | 4. Appliquer les scénarios: base, prudent, stress | 5. Calculer le seuil de rupture (baisse de revenus ou de marge qui amène le ratio à 1,00) | 6. Vérifier la trésorerie plancher mensuelle et le besoin de marge de crédit | 7. Conclure sur le terme, l'amortissement et le congé de capital requis","Ratio de couverture par exercice et par scénario; seuil de rupture en pourcentage; besoin de marge de crédit; recommandation de terme et de congé de capital","F1;F2","F4;P2;P4","Q1;Q3","Oublier les investissements de maintien; omettre les retraits des actionnaires; utiliser le BAIIA non normalisé; calculer la couverture sur le bénéfice net; ignorer la saisonnalité en ne regardant que l'annuel"
F4,01-FINANCEMENT,analyse-risque,"Identifier, coter et atténuer les risques du dossier de façon structurée, et traduire chaque risque résiduel en condition de financement.","analyse de risque; risques; mitigants; cotation; matrice de risque; conditions; garanties","Analyse financière et capacité de remboursement complétées; profil des promoteurs et actionnariat; contexte sectoriel et concurrentiel; contrats et dépendances clés; couverture d'assurance","1. Balayer les 5 catégories: marché, opérationnel, financier, promoteur et gouvernance, conformité et environnement | 2. Coter chaque risque en probabilité et en impact | 3. Documenter le mitigant existant et son efficacité réelle | 4. Isoler le risque résiduel après mitigant | 5. Traduire chaque risque résiduel significatif en condition, garantie ou engagement de faire | 6. Nommer explicitement les risques non atténuables assumés par le prêteur","Matrice de risque cotée; risques résiduels; conditions de décaissement proposées; engagements de faire et de ne pas faire; garanties requises","F1;F3;D2","P3;P4;R2","Q1;Q3","Lister des risques sans mitigant ni conséquence; coter tous les risques comme moyens; confondre mitigant et voeu pieux; omettre le risque de dépendance au propriétaire ou à un client unique"
P1,02-FLI-FLS,admissibilite,"Trancher, avant toute analyse, si l'entreprise, le projet et les dépenses sont admissibles aux fonds visés et sur le territoire desservi.","admissibilité; est-ce admissible; territoire; secteur exclu; dépenses admissibles; éligibilité; peut-on financer","Description de l'entreprise et de son établissement; code SCIAN et description des activités; nature du projet et des dépenses; stade de développement; aides publiques déjà reçues ou demandées","1. Vérifier le territoire d'opération et le lieu de l'établissement visé | 2. Confirmer la forme juridique et l'immatriculation au registre des entreprises | 3. Valider le secteur d'activité contre la liste des secteurs exclus de la politique en vigueur | 4. Qualifier chaque dépense du projet: admissible, non admissible, admissible sous condition | 5. Vérifier le cumul des aides publiques et le plafond applicable | 6. Vérifier les exclusions de nature (refinancement de dette, dépenses engagées avant la demande, transfert entre parties liées) | 7. Rendre un verdict tranché: admissible, admissible sous réserve, non admissible avec motif","Verdict d'admissibilité motivé; dépenses admissibles retenues; réserves à lever; motifs de refus le cas échéant","","P2;P3;F2","Q3;Q4","Analyser un dossier avant de statuer sur l'admissibilité; présumer d'un plafond de cumul sans le vérifier; accepter des dépenses engagées avant le dépôt; oublier que le refinancement est généralement exclu"
P2,02-FLI-FLS,tarification,"Fixer le taux, le terme, l'amortissement et les frais du prêt en fonction du risque coté et de la grille en vigueur.","tarification; taux; prime de risque; terme; amortissement; congé de capital; frais d'ouverture; pricing","Cotation de risque de F4; ratio de couverture du service de la dette; garanties offertes et leur rang; grille de tarification en vigueur; taux de référence courant","1. Partir du taux de référence de la grille en vigueur pour le fonds visé | 2. Ajouter la prime de risque correspondant à la cote du dossier | 3. Ajuster selon le rang de sûreté et la qualité des garanties | 4. Fixer le terme et l'amortissement selon la durée de vie des actifs financés | 5. Déterminer le congé de capital requis par la courbe de trésorerie de F3 | 6. Appliquer les frais d'ouverture et d'analyse prévus | 7. Recalculer la couverture du service de la dette avec la tarification finale","Taux proposé et sa décomposition; terme et amortissement; congé de capital; frais; validation que la couverture demeure conforme","F3;F4;P1","P4;F2","Q1;Q3;Q4","Fixer le taux avant d'avoir coté le risque; amortir sur une durée supérieure à la vie utile de l'actif; accorder un congé de capital non justifié par les flux; oublier de revalider la couverture après tarification"
P3,02-FLI-FLS,conformite-politique,"Vérifier ligne par ligne que le montage projeté respecte la politique d'investissement en vigueur avant présentation au comité.","conformité; politique d'investissement; plafond; limite; ratio FLI FLS; délégation; est-ce conforme","Montage financier de F2; tarification de P2; politique d'investissement en vigueur; historique des engagements envers le même groupe d'entreprises","1. Vérifier le plafond par entreprise et par groupe lié pour chaque fonds | 2. Vérifier le respect du ratio de participation entre les fonds concernés | 3. Valider la mise de fonds minimale et sa forme | 4. Contrôler les limites de concentration sectorielle et par dossier du portefeuille | 5. Vérifier le niveau d'autorisation requis et la délégation applicable | 6. Contrôler les règles de garanties et de cautionnement exigées | 7. Documenter toute dérogation demandée et son justificatif","Grille de conformité point par point avec statut; dérogations demandées et motifs; niveau d'autorisation requis","F2;P1;P2","P4","Q3;Q4","Citer un plafond de mémoire au lieu de la politique en vigueur; oublier le cumul avec les engagements existants du même groupe; présumer d'une délégation d'autorisation; passer une dérogation sous silence"
P4,02-FLI-FLS,preparation-CIC,"Produire le dossier complet et défendable soumis au comité d'investissement commun, incluant la recommandation et ses conditions.","note CIC; préparation CIC; comité d'investissement; recommandation; dossier CIC; résolution; conditions de décaissement","Ensemble des livrables amont: F1 à F4, P1 à P3; pièces justificatives du dossier; profil des promoteurs; échéancier du projet","1. Rédiger la note selon la structure normalisée: entreprise, promoteurs, projet, montage, analyse financière, risques, recommandation | 2. Placer la recommandation et le montant en tête de note | 3. Rattacher chaque chiffre présenté à sa source dans le dossier | 4. Formuler les conditions préalables au décaissement de façon vérifiable et datable | 5. Rédiger les engagements de faire et de ne pas faire pendant la durée du prêt | 6. Préparer le projet de résolution et la liste des pièces manquantes | 7. Soumettre le dossier au préflight QA avant dépôt","Note d'investissement complète; conditions préalables au décaissement; engagements; projet de résolution; liste des pièces manquantes","F1;F2;F3;F4;P1;P2;P3","R2;R3;Q4","Q1;Q2;Q3;Q4","Conditions de décaissement formulées de façon invérifiable; recommandation noyée en fin de note; chiffres de la note qui divergent des annexes; pièces manquantes non déclarées"
E1,03-EVALUATION,normalisation-BAIIA,"Reconstituer le BAIIA réellement récurrent et transférable de l'entreprise, base de toute évaluation par les multiples.","normalisation; BAIIA; EBITDA normalisé; retraitement; bénéfice normalisé; rémunération du propriétaire","États financiers 3 à 5 exercices; grand livre des comptes de charges sensibles; contrats de location avec parties liées; détail de la rémunération des actionnaires; liste des éléments non récurrents","1. Partir du bénéfice avant impôts publié et remonter au BAIIA publié | 2. Normaliser la rémunération des actionnaires actifs au salaire de marché du poste | 3. Ramener les loyers avec parties liées à la valeur locative de marché | 4. Retirer les dépenses personnelles et non liées à l'exploitation | 5. Retirer les éléments non récurrents des deux côtés (gains et pertes) | 6. Corriger les changements de méthode comptable et les erreurs de coupure | 7. Pondérer les exercices selon leur représentativité et documenter chaque ajustement avec sa source","Tableau de normalisation ligne par ligne avec source; BAIIA normalisé par exercice; BAIIA normalisé retenu et sa justification","F1","E2;E3;E4","Q1;Q3","Normaliser à la hausse seulement; utiliser un salaire de marché non appuyé par une source; traiter un élément récurrent comme non récurrent; oublier l'effet fiscal des ajustements; pondérer sans justification"
E2,03-EVALUATION,multiples,"Établir la valeur par l'approche de marché en appliquant un multiple justifié au BAIIA normalisé, puis passer de la valeur d'entreprise à la valeur des actions.","multiples; approche de marché; valeur d'entreprise; comparables; multiple du BAIIA; décote; valeur des actions","BAIIA normalisé de E1; données sectorielles et transactions comparables; dette nette à la date d'évaluation; fonds de roulement normatif; actifs et passifs hors exploitation","1. Choisir la base de multiple appropriée (BAIIA, BAII, revenus) et justifier le choix | 2. Constituer l'échantillon de comparables et documenter chaque source | 3. Retenir une fourchette de multiples plutôt qu'un point | 4. Ajuster pour la taille, la liquidité, la dépendance au propriétaire et la concentration de la clientèle | 5. Calculer la valeur d'entreprise sur la fourchette | 6. Déduire la dette nette et ajuster l'écart de fonds de roulement par rapport au normatif | 7. Ajouter les actifs hors exploitation et conclure sur une fourchette de valeur des actions","Fourchette de multiples justifiée; valeur d'entreprise; passage à la valeur des actions détaillé; fourchette de valeur des actions","E1","E3;E4","Q1;Q3","Appliquer un multiple de grandes entreprises à une PME; oublier la décote de dépendance au propriétaire; confondre valeur d'entreprise et valeur des actions; ignorer l'écart de fonds de roulement; présenter un point au lieu d'une fourchette"
