ID,Module,Contrôle,Portée,Comment vérifier,Critère de réussite,Sévérité,Bloquant
C01,Q1,Recalcul indépendant des chiffres porteurs,Tout livrable chiffré,"Reprendre chaque chiffre mis de l'avant et le recalculer à partir des données d'entrée sans réutiliser la feuille de calcul d'origine","Chaque chiffre porteur est reproduit à l'unité de présentation près",BLOQUANT,OUI
C02,Q1,Somme des composantes égale au total,Tout tableau,"Additionner les composantes de chaque total présenté","Aucun écart non expliqué entre un total et la somme de ses composantes",BLOQUANT,OUI
C03,Q1,Équilibre du tableau Sources et Emplois,Montage financier,"Comparer la somme des sources et la somme des emplois","Écart nul",BLOQUANT,OUI
C04,Q1,Cohérence d'un même chiffre entre tous les documents,Dossier complet,"Repérer chaque occurrence d'un même chiffre dans la note, les annexes, le sommaire et la présentation","Une seule valeur par donnée dans l'ensemble du dossier",BLOQUANT,OUI
C05,Q1,Unités périodes et échelles,Tout livrable chiffré,"Vérifier que les montants en milliers sont identifiés, que les pourcentages ont une base explicite et que les exercices comparés sont de même durée","Chaque chiffre porte son unité, sa base et sa période",MAJEUR,OUI
C06,Q1,Précision cohérente avec la source,Tout livrable chiffré,"Comparer le nombre de décimales présentées avec la précision réelle de la donnée d'entrée","Aucun faux précis: la précision affichée n'excède jamais celle de la source",MINEUR,NON
C07,Q1,Revalidation après modification tardive,Tout livrable modifié après contrôle,"Comparer la version contrôlée et la version à remettre","Toute modification postérieure au contrôle a fait l'objet d'un nouveau contrôle",BLOQUANT,OUI
C08,Q1,Cohérence du ratio de couverture avec la tarification finale,Dossier de financement,"Recalculer le ratio de couverture avec le taux, le terme et le congé de capital effectivement recommandés","Le ratio présenté correspond à la tarification recommandée et non à une version antérieure",BLOQUANT,OUI
C09,Q2,Patron de nommage du fichier,Tout livrable remis,"Comparer le nom du fichier au patron prévu pour son type dans nomenclature.csv","Le nom respecte le patron, incluant la date et la version",MAJEUR,OUI
C10,Q2,Exactitude de la raison sociale,Tout livrable,"Comparer la raison sociale utilisée avec l'inscription au registre des entreprises","Raison sociale exacte et identique partout dans le dossier",MAJEUR,OUI
C11,Q2,Acronymes développés à la première occurrence,Tout livrable,"Repérer chaque acronyme et vérifier sa première occurrence","Chaque acronyme est développé une fois, puis utilisé de façon constante",MINEUR,NON
